regime,parameter,truth,estimate,sd,lower,upper,bias,rmse,coverage,width
High,beta,0.3,0.2929073580344174,0.062231818758518846,0.1838162120010678,0.42699993451019397,-0.0070926419655825594,0.007242969319725722,1,0.24318372250912618
High,c,0.95,0.9500434024518549,0.006212580168506849,0.937256085027817,0.9614989140158063,4.340245185500669e-5,1.5178598824013446e-4,1,0.024242828987989355
High,eta_EE,0.08,0.07619371678962099,0.01344613116235158,0.052166777226362614,0.10465164492826136,-0.0038062832103790112,0.0038062832103790112,1,0.05248486770189875
High,eta_EI,0.08,0.07617564129875744,0.013447355762324406,0.05215831973127769,0.10459189741616978,-0.0038243587012425696,0.0038243587012425696,1,0.05243357768489208
High,eta_ER,0.08,0.0761797767881924,0.013476819486466288,0.05215861521235402,0.10474184853289702,-0.0038202232118075973,0.0038202232118075973,1,0.052583233320542995
High,eta_II,0.04,0.07619541528488644,0.013454585619588013,0.052171829397033825,0.10471494743414887,0.036195415284886436,0.036195415284886436,0,0.05254311803711504
High,eta_IR,0.08,0.07615785307802383,0.013462002920002427,0.05216825652739391,0.10466102802366778,-0.0038421469219761598,0.0038421469219761598,1,0.05249277149627387
High,eta_RR,0.08,0.07623087823161617,0.01345865438642305,0.052166657756659525,0.10469378202602117,-0.0037691217683838325,0.0037691217683838325,1,0.052527124269361646
High,eta_SE,0.08,0.07620887998191721,0.013475776448227972,0.0522303908304313,0.10477056567273567,-0.00379112001808279,0.00379112001808279,1,0.05254017484230437
High,eta_SI,0.05,0.07619957898206256,0.013462138306722271,0.05213446936166651,0.10464305226326166,0.026199578982062564,0.026199578982062564,0.004,0.05250858290159515
High,eta_SR,0.08,0.07619272457498819,0.013449746755523226,0.05220253945292262,0.10465166884869011,-0.0038072754250118098,0.0038072754250118098,1,0.05244912939576749
High,eta_SS,0.08,0.07617789345545692,0.013475084615773361,0.05213238536052153,0.10465626961250656,-0.003822106544543077,0.003822106544543077,1,0.05252388425198502
High,gamma,0.25,0.2699925356026542,0.06521177428517272,0.1578334192352171,0.4119294355360635,0.019992535602654172,0.019999959307761026,1,0.2540960163008464
High,kappa,0.4,0.39905522883882927,0.08873654961277593,0.2445512537213457,0.5911167629846533,-9.44771161170757e-4,0.0067428144329798306,1,0.3465655092633076
High,omega_EE,0.03,0.0749667893665202,0.013654700385689863,0.050656504944417396,0.10390863380852457,0.044966789366520196,0.044966789366520196,0,0.05325212886410717
High,omega_EI,0.03,0.07496911793026427,0.013687317510775383,0.05058425691112313,0.10404877409503306,0.04496911793026428,0.04496911793026428,0,0.05346451718390993
High,omega_ER,0.03,0.07500513673229577,0.013704385485108446,0.050683920605662305,0.1041540161198153,0.045005136732295774,0.045005136732295774,0,0.05347009551415299
High,omega_II,0.07,0.0750244478616688,0.013697072455479563,0.05064615217155986,0.10405971554511254,0.005024447861668797,0.005024447861668797,1,0.05341356337355267
High,omega_IR,0.03,0.07497176086949932,0.01368213901904861,0.05061041007868866,0.10400371680710499,0.04497176086949931,0.04497176086949931,0,0.05339330672841633
High,omega_RR,0.03,0.07499646293571703,0.013688904985342688,0.05067256527765725,0.10403937645639805,0.04499646293571703,0.04499646293571703,0,0.05336681117874079
High,omega_SE,0.03,0.07497862661490642,0.01366730073752276,0.05072080689855225,0.10397050803637087,0.044978626614906425,0.044978626614906425,0,0.05324970113781863
High,omega_SI,0.06,0.07497145503648966,0.013680692427271024,0.05066282810464676,0.10405965281689533,0.014971455036489662,0.014971455036489662,1,0.05339682471224857
High,omega_SR,0.03,0.07497397232729865,0.013669253081715182,0.050661557904394236,0.1039375356441227,0.04497397232729865,0.04497397232729865,0,0.05327597773972846
High,omega_SS,0.03,0.07498563811785669,0.013685817016065822,0.05058721967402131,0.1039330122441151,0.0449856381178567,0.0449856381178567,0,0.053345792570093795
High,p_E,0.6,0.5998804604121707,0.046357644917049676,0.5077372900404965,0.6886835197121571,-1.1953958782930751e-4,0.0025848668241146683,1,0.18094622967166063
High,p_I,0.85,0.8363377282715728,0.03506010382154595,0.7622373242789813,0.8989058356313738,-0.013662271728427182,0.013662271728427182,1,0.13666851135239255
High,s,0.9,0.899995263215314,0.01046586696108492,0.8786305244008549,0.9195191218429865,-4.736784686017348e-6,2.636609214632086e-4,1,0.04088859744213158
High,xi,0.05,0.06241414298687164,0.019706291502030356,0.029972011715902486,0.10651731480141248,0.012414142986871638,0.012414142986871638,1,0.07654530308551
Moderate,beta,0.3,0.2934591467467194,0.06238709229240549,0.184421869547347,0.4275231068659766,-0.006540853253280568,0.0068601052727162515,1,0.2431012373186296
Moderate,c,0.95,0.9500425385722256,0.006215862424844411,0.937216226481399,0.9614801173310316,4.2538572225682133e-05,1.536180984709643e-4,1,0.02426389084963252
Moderate,eta_EE,0.08,0.07618772578815211,0.013456117110960146,0.052168790243924304,0.10462972477052576,-0.0038122742118478965,0.0038122742118478965,1,0.05246093452660145
Moderate,eta_EI,0.08,0.0761945160541765,0.013470212009882411,0.05218302685435836,0.10470518025451477,-0.003805483945823505,0.003805483945823505,1,0.0525221534001564
Moderate,eta_ER,0.08,0.0761856494324853,0.01346603022960105,0.052234250038381044,0.10474244369743174,-0.0038143505675147,0.0038143505675147,1,0.052508193659050705
Moderate,eta_II,0.04,0.07618535290652889,0.013472081246776419,0.05212998620697614,0.1046567246224142,0.0361853529065289,0.0361853529065289,0,0.052526738415438055
Moderate,eta_IR,0.08,0.07619087396650995,0.013457078700132895,0.05215222850155329,0.10461882820632891,-0.0038091260334900574,0.0038091260334900574,1,0.05246659970477562
Moderate,eta_RR,0.08,0.07620345302610748,0.013470546984293827,0.052160411833077784,0.10467765682497153,-0.0037965469738925222,0.0037965469738925222,1,0.05251724499189375
Moderate,eta_SE,0.08,0.07619079615139637,0.013448340064343514,0.05221784401808171,0.10462803039500404,-0.0038092038486036302,0.0038092038486036302,1,0.05241018637692234
Moderate,eta_SI,0.05,0.07615916203912666,0.013438164777781423,0.05216517645498796,0.10460784387467303,0.026159162039126656,0.026159162039126656,0,0.05244266741968508
Moderate,eta_SR,0.08,0.07619123177109599,0.013441611385735438,0.05219858915818803,0.10449965482632835,-0.003808768228904008,0.003808768228904008,1,0.05230106566814032
Moderate,eta_SS,0.08,0.0762044437976213,0.013488412854258818,0.05218687922326744,0.10480659835983133,-0.0037955562023787048,0.0037955562023787048,1,0.0526197191365639
Moderate,gamma,0.25,0.26994221798654144,0.06521552992482463,0.15740019950233544,0.4118317941762483,0.019942217986541444,0.019942217986541444,1,0.2544315946739129
Moderate,kappa,0.4,0.40030746776356557,0.08885666552854199,0.24562347416014976,0.592633302458546,3.0746776356553883e-4,0.0064990661621231,1,0.34700982829839616
Moderate,omega_EE,0.03,0.07499934748535432,0.013685423096197902,0.05066009440052816,0.10403002209908446,0.044999347485354314,0.044999347485354314,0,0.0533699276985563
Moderate,omega_EI,0.03,0.07495811922357724,0.013714409902223463,0.050612590776600096,0.10400002445209111,0.044958119223577245,0.044958119223577245,0,0.05338743367549101
Moderate,omega_ER,0.03,0.07500896186473636,0.013691780399336016,0.050669102226265486,0.10407919621511728,0.04500896186473636,0.04500896186473636,0,0.05341009398885179
Moderate,omega_II,0.07,0.07500113930144554,0.01368277356218255,0.050686849180612004,0.10398977848210911,0.005001139301445541,0.005001139301445541,1,0.05330292930149711
Moderate,omega_IR,0.03,0.0750035622807518,0.013668419137038347,0.05072091224814007,0.10401572560973428,0.04500356228075181,0.04500356228075181,0,0.05329481336159421
Moderate,omega_RR,0.03,0.07501709543550801,0.013676773316540236,0.050719635547159594,0.10398924325675259,0.04501709543550802,0.04501709543550802,0,0.05326960770959299
Moderate,omega_SE,0.03,0.07496956330766097,0.013684440520011778,0.050630750201876865,0.10401857845090423,0.04496956330766098,0.04496956330766098,0,0.05338782824902736
Moderate,omega_SI,0.06,0.07498476597736119,0.013687502238941439,0.05067055523839021,0.10402096000786777,0.014984765977361193,0.014984765977361193,1,0.053350404769477555
Moderate,omega_SR,0.03,0.07500698064301883,0.013654500677810719,0.05070600076534643,0.10394478329506941,0.04500698064301883,0.04500698064301883,0,0.05323878252972298
Moderate,omega_SS,0.03,0.07498536988256761,0.013678995109590333,0.050659168772351514,0.10400708606421794,0.044985369882567613,0.044985369882567613,0,0.053347917291866415
Moderate,p_E,0.6,0.6002184038016982,0.04637879124977897,0.5078371301164808,0.6888274103455279,2.1840380169823703e-4,0.0027949194859845402,1,0.180990280229047
Moderate,p_I,0.85,0.8364209911589293,0.035046445182117324,0.7625523607374716,0.8989751900820048,-0.013579008841070632,0.013579008841070632,1,0.13642282934453318
Moderate,s,0.9,0.8999985422437552,0.010470674600332137,0.8785714958148728,0.9195235171025786,-1.4577562447919412e-6,2.489877201507515e-4,1,0.04095202128770574
Moderate,xi,0.05,0.06250020943158716,0.019702370817085955,0.03005417498782555,0.10653035565146357,0.01250020943158715,0.01250020943158715,1,0.07647618066363802
Sparse,beta,0.3,0.293144949943309,0.062293658597922116,0.18400728923046353,0.4270895161830526,-0.00685505005669103,0.007086252032953839,1,0.24308222695258902
Sparse,c,0.95,0.9500436471453451,0.0062282833796568305,0.9372079983935461,0.9615066005378822,4.364714534512881e-5,1.5163864090939104e-4,1,0.02429860214433612
Sparse,eta_EE,0.08,0.07618628470425545,0.013440361545884046,0.05213534113145018,0.10455139459854429,-0.0038137152957445557,0.0038137152957445557,1,0.052416053467094104
Sparse,eta_EI,0.08,0.07618538249385053,0.013459182084046891,0.052184246239227,0.10475440871199525,-0.0038146175061494697,0.0038146175061494697,1,0.05257016247276825
Sparse,eta_ER,0.08,0.07621874610356341,0.013468070186441493,0.05225063596990359,0.10477328760274947,-0.0037812538964365917,0.0037812538964365917,1,0.052522651632845876
Sparse,eta_II,0.04,0.07617370028884536,0.013452276542226133,0.05220215564422588,0.10465333215841885,0.03617370028884537,0.03617370028884537,0,0.05245117651419297
Sparse,eta_IR,0.08,0.0761989009315865,0.013422380187100685,0.05222917496341082,0.10459414022168262,-0.0038010990684135024,0.0038010990684135024,1,0.0523649652582718
Sparse,eta_RR,0.08,0.07621359953711025,0.013461304648165324,0.05215964249976611,0.1047299256822583,-0.0037864004628897544,0.0037864004628897544,1,0.0525702831824922
Sparse,eta_SE,0.08,0.07620920862100312,0.013451893809911878,0.052197104083351105,0.10456874240366834,-0.0037907913789968785,0.0037907913789968785,1,0.052371638320317236
Sparse,eta_SI,0.05,0.07619702587984073,0.013475773306017251,0.05216881141261865,0.1047115720741735,0.026197025879840734,0.026197025879840734,0,0.05254276066155486
Sparse,eta_SR,0.08,0.07622280048493602,0.013474594380406565,0.052211353332614396,0.10476476783174918,-0.0037771995150639903,0.0037771995150639903,1,0.052553414499134775
Sparse,eta_SS,0.08,0.07619528598592362,0.013446892797714459,0.05220722547491023,0.10465922119582019,-0.003804714014076374,0.003804714014076374,1,0.05245199572090995
Sparse,gamma,0.25,0.26991121145218944,0.06544939492206142,0.1577007043082063,0.4132737637919361,0.01991121145218945,0.019923754742711984,1,0.25557305948372977
Sparse,kappa,0.4,0.3995527297935174,0.08873675236842754,0.2449409648838821,0.5912927569341566,-4.4727020648259577e-4,0.006513863424344391,1,0.3463517920502745
Sparse,omega_EE,0.03,0.07502723571877797,0.013703103926483873,0.050600184874734534,0.10404921958232836,0.04502723571877797,0.04502723571877797,0,0.05344903470759384
Sparse,omega_EI,0.03,0.07498104542850506,0.01368952872949435,0.0506809837093304,0.10400244471325369,0.04498104542850506,0.04498104542850506,0,0.05332146100392329
Sparse,omega_ER,0.03,0.07496712110207206,0.013677640467063962,0.05064450627265671,0.10402905765977868,0.04496712110207205,0.04496712110207205,0,0.053384551387121976
Sparse,omega_II,0.07,0.07499892156441217,0.013697982144271295,0.05064197512745182,0.1040780887003137,0.0049989215644121576,0.0049989215644121576,1,0.053436113572861876
Sparse,omega_IR,0.03,0.07499327172048992,0.01367935205820099,0.05066898276608206,0.10405673369628199,0.04499327172048992,0.04499327172048992,0,0.05338775093019993
Sparse,omega_RR,0.03,0.07498714065582274,0.013670427506189825,0.05070057174365488,0.10402220982740429,0.044987140655822745,0.044987140655822745,0,0.053321638083749415
Sparse,omega_SE,0.03,0.07500957921622983,0.01370278292833431,0.05065109280243357,0.10402280189474618,0.045009579216229834,0.045009579216229834,0,0.053371709092312605
Sparse,omega_SI,0.06,0.07500843612461938,0.013685928420614496,0.05065526920874479,0.1039834647766789,0.015008436124619388,0.015008436124619388,1,0.05332819556793412
Sparse,omega_SR,0.03,0.075020880836288,0.013693834980315397,0.05070826566979529,0.10403656410066366,0.045020880836287996,0.045020880836287996,0,0.05332829843086837
Sparse,omega_SS,0.03,0.07499594196163589,0.013691576661039314,0.050696856481208225,0.10407939762006506,0.044995941961635894,0.044995941961635894,0,0.053382541138856834
Sparse,p_E,0.6,0.6000603115199197,0.04636225646355794,0.5079498387436678,0.6889613984383077,6.0311519919687305e-5,0.002627746893379056,1,0.18101155969463986
Sparse,p_I,0.85,0.8363390931864756,0.034991817601855324,0.7625614389567996,0.8987613989370171,-0.013660906813524366,0.013660906813524366,1,0.13619995998021756
Sparse,s,0.9,0.9000082545958401,0.010465183967173863,0.8786677310690234,0.9195415880290577,8.254595840050838e-6,2.6567227473796496e-4,1,0.04087385696003441
Sparse,xi,0.05,0.06248945792141162,0.019688311661728224,0.030032736626220555,0.10658384622457268,0.012489457921411616,0.012489457921411616,1,0.07655110959835212
